REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Europe;Serbia;2022;8,7;2;2;0;2;2;0;2;16;18;0;0;0;0;0;0;0;0;0;0;0
Europe;United Kingdom;2022;68,5;1413;767;646;1345;745;600;2338;854;3192;890;5;27;922;202;95;0;95;146;120;24
Europe;Armenia;2022;3;0;0;0;0;0;0;0;22;22;0;0;2;2;0;0;0;0;0;0;0
Eastern Mediterranean;Afghanistan;2022;40,8;0;0;0;0;0;0;0;132;132;0;0;0;0;0;0;0;0;0;0;0
America;Brazil;2022;215,4;3266;3266;0;2897;2897;0;4611;418;5029;1988;0;61;2049;362;106;0;106;133;112;
America;Chile;2022;19,3;171;171;0;163;163;0;253;73;326;133;0;23;156;40;30;0;30;9;8;0
America;Costa Rica;2022;5,2;27;27;0;27;27;0;37;29;66;20;0;2;22;4;4;0;4;0;0;0
America;Dominican Republic;2022;11,1;10;10;0;10;10;0;19;42;61;1;0;0;1;0;0;0;0;0;0;0
America;El Salvador;2022;6,6;0;0;0;0;0;0;0;35;35;0;0;0;0;0;0;0;0;0;0;0
America;Ecuador;2022;18,1;91;91;0;85;85;0;149;2;151;28;0;0;28;13;0;0;0;0;0;0
America;Mexico;2022;131,6;398;398;0;392;392;0;725;1988;2713;218;0;20;238;42;11;0;11;2;;0
America;Panama;2022;4,4;18;18;0;18;18;0;18;17;35;10;0;0;10;1;0;0;0;0;0;0
America;Paraguay;2022;7,3;15;15;0;15;15;0;26;6;32;0;0;0;0;6;0;0;0;0;0;0
America;Colombia;2022;51,5;332;332;0;331;331;0;607;234;841;173;0;75;248;81;27;0;27;13;13;0
America;Uruguay;2022;3,5;75;75;0;73;73;0;143;7;150;25;0;0;25;8;4;0;4;0;0;0
America;Argentina;2022;46;767;760;7;689;682;7;1175;259;1434;384;0;59;443;110;33;0;33;36;34;1
Europe;Romania;2022;19;85;85;0;85;85;0;157;73;230;71;0;4;75;7;2;0;2;0;0;0
Europe;Israel;2022;8,9;102;99;3;99;98;1;149;319;468;91;1;7;99;32;61;0;61;3;3;0
America;Barbados;2022;0,3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;Libyan Arab Jamahiriya;2022;7;0;0;0;0;0;0;0;18;18;0;0;0;0;0;0;0;0;0;0;0
Africa;Nigeria;2022;216,7;0;0;0;0;0;0;0;222;222;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;Pakistan;2022;229,5;0;0;0;0;0;0;0;1709;1709;0;0;401;401;0;0;0;0;0;0;0
Western Pacific;Philippines;2022;112,5;20;20;0;20;20;0;37;553;590;1;0;0;1;0;0;0;0;0;0;0
Western Pacific;Republic of Korea;2022;51,3;405;405;0;405;405;0;677;1357;2034;342;0;1086;1428;167;136;0;136;31;15;1
Eastern Mediterranean;Tunisia;2022;12;19;19;0;19;19;0;32;39;71;7;0;1;8;12;0;0;0;0;0;0
Europe;Greece;2022;10,3;69;69;0;66;66;0;104;83;187;36;0;0;36;12;11;0;11;0;0;0
Europe;Latvia;2022;1,8;24;24;0;22;22;0;40;3;43;3;0;0;3;2;0;0;0;0;0;0
Europe;Lithuania;2022;2,7;46;45;1;45;44;1;77;5;82;32;0;0;32;9;1;0;1;1;1;
Europe;Malta;2022;0,4;5;5;0;5;5;0;10;4;14;0;0;0;0;0;0;0;0;0;0;0
Europe;Portugal;2022;10,1;318;290;28;277;258;19;437;58;495;201;1;0;202;37;39;;39;25;24;
Europe;Slovakia;2022;5,5;71;71;0;69;69;0;124;30;154;43;0;0;43;20;0;0;0;0;0;
Western Pacific;Australia;2022;26,1;454;337;117;433;325;108;715;226;941;260;0;0;260;117;142;0;142;47;42;2
Europe;Belarus;2022;9,4;241;241;0;235;235;0;343;5;348;92;0;4;96;37;6;0;6;0;0;0
Europe;Bosnia and Herzegovina;2022;3,2;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0
America;Canada;2022;38,4;;;;823;561;262;1310;485;1795;508;;91;599;153;352;0;352;60;44;7
Western Pacific;New Zealand;2022;4,9;63;53;10;59;50;9;104;70;174;53;1;0;54;15;15;0;15;5;5;0
Europe;Switzerland;2022;8,8;164;91;73;157;89;68;231;111;342;137;0;5;142;35;51;0;51;9;8;0
Europe;Türkiye ;2022;85,6;289;289;0;176;176;0;281;3340;3621;148;10;1462;1610;26;11;0;11;0;0;2
America;United States of America;2022;334,8;14905;10127;4778;13104;9499;3605;20446;5864;26310;8925;6;597;9528;4162;2743;0;2743;918;810;82
Europe;Republic of North Macedonia;2022;2,1;5;5;0;5;5;0;10;12;22;1;0;0;2;2;0;0;0;0;0;0
America;Bolivia (Plurinational State of);2022;12;0;0;0;0;0;0;0;50;50;0;0;1;;;;;;;;
Eastern Mediterranean;Iran (Islamic Republic of);2022;86;1016;1016;0;1000;1000;0;1247;1184;2431;810;0;83;893;130;9;0;9;38;33;9
America;Cuba;2022;11,3;5;5;0;5;5;0;5;6;11;0;0;1;1;0;0;0;0;0;0;0
America;Honduras;2022;10,2;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;India;2022;1,406.60;941;941;0;920;920;0;1541;10164;11705;737;9;3174;3920;243;144;0;144;26;22;3
America;Peru;2022;33,7;42;42;0;41;41;0;81;49;130;31;0;5;36;14;3;0;3;0;0;0
America;Guatemala;2022;18,6;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;United Arab Emirates;2022;10,1;55;55;0;55;55;0;80;72;152;55;0;2;57;0;6;0;6;4;3;
Western Pacific;Singapore;2022;5,9;21;21;0;21;21;0;22;50;72;16;0;16;32;2;0;0;0;0;0;0
Eastern Mediterranean;Jordan;2022;10,3;0;0;0;0;0;0;0;199;199;0;0;0;0;0;;;;;;
Europe;Azerbaijan;2022;10,3;0;0;0;0;0;0;0;31;31;0;0;10;10;0;0;0;0;0;0;0
America;Trinidad and Tobago;2022;1,4;1;1;0;1;1;0;2;9;11;0;0;0;0;0;0;0;0;0;0;0
