REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Europe;Slovakia;2020;5,5;70;70;0;67;67;0;113;18;131;19;0;0;19;27;0;0;0;0;0;0
America;Venezuela (Bolivarian Republic of);2020;28,4;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
America;Ecuador;2020;17,6;29;29;0;28;28;0;51;6;57;9;0;0;9;0;0;0;0;0;0;0
Europe;Russian Federation;2020;145,9;572;553;19;564;547;17;967;157;1124;390;0;169;559;251;11;11;11;16;16;1
Europe;Ireland;2020;4,9;63;56;7;60;53;7;95;28;123;37;0;0;37;9;16;0;16;5;3;0
Europe;Albania;2020;2,9;0;0;0;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;Bangladesh;2020;164,7;0;0;0;0;0;0;0;155;155;0;0;0;0;0;0;0;0;0;0;0
Africa;Kenya;2020;53,8;0;0;0;0;0;0;0;142;142;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;Kuwait;2020;4,3;14;14;0;14;14;0;24;37;61;2;0;0;2;0;0;0;0;0;;0
Western Pacific;Mongolia;2020;3,3;5;5;0;5;5;0;6;23;29;4;0;28;32;0;0;0;0;0;0;0
Africa;Algeria;2020;43,9;0;0;0;0;0;0;0;91;91;0;0;2;2;0;0;0;0;0;0;0
Eastern Mediterranean;Oman;2020;5,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;Pakistan;2020;220,9;0;0;0;0;0;0;0;129;129;0;0;60;60;0;0;0;0;0;0;0
Eastern Mediterranean;Qatar;2020;2,9;2;2;0;2;2;0;4;13;17;1;0;0;1;0;0;0;0;0;0;0
Eastern Mediterranean;Sudan;2020;43,8;0;0;0;0;0;0;0;139;139;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;China;2020;1,447.40;5222;2315;2907;5185;2303;2882;9399;1638;11037;4954;14;874;5842;557;513;0;513;;;
Eastern Mediterranean;Syrian Arab Republic;2020;17,5;0;0;0;0;0;0;0;211;211;0;0;0;0;0;0;0;0;0;0;0
America;Trinidad and Tobago;2020;1,4;2;2;0;2;2;0;4;6;10;0;0;0;0;0;0;0;0;0;0;0
Eastern Mediterranean;United Arab Emirates;2020;9,9;9;9;0;9;9;0;16;45;61;5;0;6;11;2;1;0;1;1;1;0
Africa;Ethiopia;2020;115;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;Thailand;2020;69,8;315;315;0;304;304;0;578;134;712;94;0;31;125;33;1;0;1;1;1;0
Western Pacific;Malaysia;2020;32,4;28;28;0;27;27;0;41;112;153;17;0;11;28;1;1;0;1;0;0;0
Western Pacific;Japan;2020;126,5;77;68;9;77;68;9;141;1556;1697;63;1;316;380;54;58;17;75;28;24;3
America;Bolivia (Plurinational State of);2020;11,7;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;0;0
America;Cuba;2020;11,3;51;51;0;51;51;0;55;9;64;0;0;2;2;0;0;0;0;0;0;0
America;Guatemala;2020;17,9;0;0;0;0;0;0;0;29;29;0;0;0;0;;;;;;;
Eastern Mediterranean;Saudi Arabia;2020;34,8;65;65;0;63;63;0;70;477;547;51;;193;244;28;20;0;20;2;2;1
Eastern Mediterranean;Iran (Islamic Republic of);2020;84;645;645;0;;;;820;420;1240;;;;606;67;;;3;23;;6
America;Colombia;2020;50,9;222;222;0;219;219;0;406;120;526;128;0;71;199;67;12;0;12;5;4;0
America;Canada;2020;37,7;734;538;196;734;538;196;1122;396;1518;474;;91;565;188;325;0;325;57;42;6
South-East Asia;India;2020;1,380.00;351;347;4;348;344;4;516;4970;5486;291;2;1487;1780;89;67;0;67;14;12;7
America;Chile;2020;19,1;141;141;0;132;132;0;212;21;233;104;0;23;127;17;20;0;20;5;5;0
Africa;Nigeria;2020;206,1;0;0;0;0;0;0;0;164;164;0;0;0;0;0;0;0;0;0;0;0
